Protector.aa.Win32.Rootkit.ex_,332,5,1221828498,0,0,224,258,17744,267,8,0,2432,28672,0,1248,1152,65536,128,128,6,0,6,0,5,1,32256,1152,49875,1,1024,262144,4096,1048576,4096,0,16,0,0,28,1152,2093,145,49875,31872,malware
NBE.Win32.Trojan.ex_,332,4,982553137,0,0,224,271,17744,267,6,0,4096,12288,0,4576,4096,4194304,4096,4096,4,0,0,0,4,0,20480,4096,0,2,0,1048576,4096,1048576,4096,0,16,0,928,0,4096,880,916,81770,8348,malware
Mecool.Win32.Trojan.ex_,332,3,1013523608,0,0,224,271,17744,267,6,0,532480,16384,0,4580,4096,4194304,4096,4096,4,0,1,0,4,0,552960,4096,582030,2,0,1048576,4096,1048576,4096,0,16,0,11204,0,4096,530600,2652,582030,533844,malware
FTP.Small.b.Win32.Backdoor.ex_,332,3,1120420371,0,0,224,271,17744,267,5,12,2048,12288,0,4096,4096,4194304,4096,512,4,0,4,0,4,0,24576,1024,52585,2,0,1048576,4096,1048576,4096,0,16,0,0,0,4096,1924,358,49994,8240,malware
ShowWord.Win32.Trojan.ex_,332,6,863808729,0,0,224,8462,17744,267,4,20,24576,32256,0,21840,4096,268435456,4096,512,4,0,0,0,4,0,65536,1024,67199,2,0,1048576,4096,1048576,4096,0,16,454,8080,0,4096,24369,7526,67199,45056,malware
Cmjspy.10.Win32.Backdoor.ex_,332,3,1000280288,0,0,224,783,17744,267,5,0,311296,4096,585728,4096,589824,4194304,4096,512,4,0,0,0,4,0,905216,1024,0,2,0,1048576,8192,1048576,4096,0,16,5556,3436,0,4096,884736,4096,931797,905216,malware
Seppuku.1606.Win32.Virus.ex_,332,4,75246808,0,0,224,33166,17744,267,2,25,2048,1536,0,5702,4096,4194304,4096,512,1,0,0,0,3,10,20480,1024,0,2,0,1048576,8192,1048576,4096,0,16,0,0,0,4096,4096,4096,12501,12288,malware
Dog.Win32.Trojan.ex_,332,5,909336676,0,0,224,8462,17744,267,4,20,45056,16896,0,5804,4096,285212672,4096,512,4,0,2,0,4,0,69632,1024,97723,2,0,1048576,4096,1048576,4096,0,16,172,7440,0,4096,44556,2896,106194,53248,malware
Zorg.b.Win32.Backdoor.ex_,332,5,1228589562,0,0,224,270,17744,267,7,0,15872,52736,0,17402,4096,65536,4096,512,5,1,5,1,5,1,86016,1024,98691,1,0,262144,4096,1048576,4096,0,16,0,0,28,4096,13526,500,98691,77824,malware
Infynca.551.Win32.Virus.ex_,332,4,2018912323,0,0,224,33166,17744,267,2,25,512,14336,0,4190,4096,4194304,4096,512,1,0,0,0,3,10,32768,1024,0,2,0,1048576,8192,1048576,4096,0,16,0,0,0,4096,4096,16384,62205,24576,malware
Sporkeh.Win32.Trojan.ex_,332,2,1017717167,0,0,224,271,17744,267,6,0,94208,10240,0,26389,4096,4194304,4096,512,4,0,0,0,4,0,122880,1024,118831,2,0,1048576,4096,1048576,4096,0,16,0,10160,0,4096,94208,12288,112797,92576,malware
Yourde.Win32.Virus.ex_,332,5,1019151221,0,0,224,8462,17744,267,6,0,196608,45056,0,29760,4096,268435456,4096,4096,4,0,0,0,4,0,245760,4096,0,2,0,1048576,4096,1048576,4096,0,16,341,0,28,4096,194432,10069,251257,233472,malware
Antes.Win32.Backdoor.ex_,332,3,970357597,0,0,224,271,17744,267,6,0,28672,8192,0,5260,4096,4194304,4096,4096,4,0,1,0,4,0,40960,4096,99075,2,0,1048576,4096,1048576,4096,0,16,0,1540,0,4096,26940,2712,41717,29812,malware
Sulex.c.Win32.Trojan.ex_,332,4,1167440575,0,0,224,271,17744,267,6,0,28672,61440,0,28358,4096,51642368,4096,4096,4,0,1,1,4,0,94208,4096,0,2,0,1048576,4096,1048576,4096,0,16,0,24160,0,4096,26826,3928,104991,34128,malware
SchoolBug.Win32.Trojan.ex_,332,3,1020792236,0,0,224,271,17744,267,6,0,12288,8192,0,4284,4096,4194304,4096,4096,4,0,1,0,4,0,24576,4096,29507,2,0,1048576,4096,1048576,4096,0,16,0,1812,0,4096,11784,3292,29507,15604,malware
Chonker.Win32.Backdoor.ex_,332,3,1016447107,0,0,224,271,17744,267,6,0,258048,20480,0,4332,4096,4194304,4096,4096,4,0,1,0,4,0,282624,4096,288850,2,0,1048576,4096,1048576,4096,0,16,0,2468,0,4096,255276,16284,288850,259076,malware
LazyMin.30.Win32.Virus.ex_,332,6,2013931587,0,0,224,33166,17744,267,2,25,512,6144,0,24576,4096,4194304,4096,512,1,0,0,0,3,10,61440,1024,0,2,0,1048576,8192,1048576,4096,0,16,0,0,0,4096,4096,8192,44734,16384,malware
Ascreen.a.Win32.Backdoor.ex_,332,3,1054698224,0,0,224,271,17744,267,6,0,45056,8192,0,5884,4096,4194304,4096,4096,4,0,8,0,4,0,57344,4096,90910,2,0,1048576,4096,1048576,4096,0,16,0,3000,0,4096,43728,3332,90910,45860,malware
Alop.Win32.Backdoor.ex_,332,4,1886601563,1147888481,1562469737,224,271,17744,267,6,0,172032,12288,0,9684,4096,4194304,4096,512,4,0,1,1,4,0,204800,1536,239661,2,0,1048576,4096,1048576,4096,0,16,0,7564,0,4096,172032,8192,217244,172868,malware
Numrok.1478.Win32.Virus.ex_,332,4,2013931587,0,0,224,33166,17744,267,2,25,512,6144,0,4096,4096,4194304,4096,512,1,0,0,0,3,10,22470,1024,0,2,0,1048576,8192,1048576,4096,0,16,0,0,0,4096,4096,8192,54803,16384,malware
Tetris.Win32.Trojan.ex_,332,5,977511746,0,0,224,270,17744,267,4,20,25600,9216,0,4204,4096,4194304,4096,512,4,0,1,0,4,0,49152,1024,33344,2,0,1048576,4096,1048576,4096,0,16,0,3900,0,4096,25204,2964,89843,36864,malware
Pulkfer.a.Win32.Virus.ex_,332,5,818095737,0,0,224,33166,17744,267,2,25,8704,53760,0,131072,4096,4194304,4096,512,1,0,0,0,3,10,132608,1024,0,3,0,1048576,8192,1048576,4096,0,16,0,0,0,4096,12288,53248,160407,69632,malware
Conlock.Win32.Trojan.ex_,332,3,994510872,0,0,224,271,17744,267,6,0,53248,8192,0,4884,4096,4194304,4096,4096,4,0,1,0,4,0,65536,4096,66280,2,0,1048576,4096,1048576,4096,0,16,0,2980,0,4096,49868,2768,66280,52756,malware
FormatAll.a.Win32.Trojan.ex_,332,3,992701968,0,0,224,271,17744,267,6,0,16384,8192,0,4708,4096,4194304,4096,4096,4,0,1,0,4,0,28672,4096,75245,2,0,1048576,4096,1048576,4096,0,16,0,1592,0,4096,12472,2584,75245,15508,malware
Lorer.Win32.Trojan.ex_,332,5,989559685,0,0,224,270,17744,267,4,20,16896,8192,0,5016,4096,4194304,4096,512,4,0,1,0,4,0,45056,1024,39195,2,0,1048576,4096,1048576,4096,0,16,0,1512,0,4096,20480,4096,39576,28672,malware
BlackHaraz.Win32.Backdoor.ex_,332,5,921362887,0,0,224,270,17744,267,4,20,329216,17408,0,7472,4096,4194304,4096,512,4,0,1,0,4,0,360448,1024,376488,2,0,1048576,4096,1048576,4096,0,16,0,3120,0,4096,328756,2904,376488,339968,malware
WinSock.Win32.Trojan.ex_,332,5,890690404,0,0,224,270,17744,267,4,20,131584,25088,0,8924,4096,4194304,4096,512,4,0,3,7,4,0,172032,1024,157960,2,0,1048576,4096,1048576,4096,0,16,0,4420,0,4096,131428,3464,157960,143360,malware
FinalX.Win32.Trojan.ex_,332,6,871231635,0,0,224,8458,17744,267,4,20,160768,60416,0,71008,4096,268435456,4096,512,4,0,0,0,4,0,233472,1024,0,2,0,1048576,4096,1048576,4096,0,16,985,7886,84,4096,160523,12809,273932,208896,malware
Shodi.e.Win32.Virus.ex_,332,4,1094618911,0,0,224,271,17744,267,6,0,32768,24576,0,16131,4096,4194304,4096,4096,4,0,0,0,4,0,61440,4096,0,2,0,1048576,4096,1048576,4096,0,16,0,7520,0,4096,29709,4458,540379,39920,malware
Nvrdoc.Win32.Virus.ex_,332,3,1066031840,0,0,224,271,17744,267,6,0,16384,8192,0,5104,4096,4194304,4096,4096,4,0,1,0,4,0,28672,4096,42025,2,0,1048576,4096,1048576,4096,0,16,0,1180,0,4096,15344,2552,42025,18212,malware
WinHalt.a.Win32.Trojan.ex_,332,3,995700782,0,0,224,271,17744,267,6,0,53248,16384,0,4744,4096,4194304,4096,4096,4,0,2,0,4,0,73728,4096,89186,2,0,1048576,4096,1048576,4096,0,16,0,6244,0,4096,52200,6612,89186,55252,malware
Dlder.a.Win32.Trojan.ex_,332,3,1004412830,0,0,224,271,17744,267,6,0,24576,12288,0,10945,4096,4194304,4096,4096,4,0,0,0,4,0,40960,4096,0,2,0,1048576,4096,1048576,4096,0,16,0,0,0,4096,21334,4244,48919,31184,malware
Evul.8192.a.Win32.Virus.ex_,332,4,2260543757,0,0,224,33166,17744,267,2,25,1024,2560,0,4096,4096,4194304,4096,512,1,0,0,0,3,10,20480,1024,0,2,0,1048576,8192,1048576,4096,0,16,0,0,0,4096,4096,4096,35270,12288,malware
Easyserv.10.Win32.Backdoor.ex_,332,3,1009667336,0,0,224,271,17744,267,6,0,32768,32768,0,15632,4096,4194304,4096,4096,4,0,0,0,4,0,69632,4096,0,2,0,1048576,4096,1048576,4096,0,16,0,0,0,4096,32046,4174,112507,38796,malware
SendFile.Win32.Trojan.ex_,332,4,856810135,0,0,224,8462,17744,267,3,10,7168,7680,0,4324,4096,285212672,4096,512,4,0,1,0,4,0,24576,1024,56004,2,0,1048576,4096,1048576,4096,0,16,170,3336,0,4096,7050,2972,56004,10676,malware
