"FilePath","DebugSize","ImageVersion","IatRVA","ExportSize","ResourceSize","VirtualSize2","NumberOfSections"
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\i686-linux-android-ld.exe",0,1,3883008,0,0,25868,5
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\libaapt2_jni.dll",0,1,3010560,379551,0,26016,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\libbcc.dll",0,1,835584,14309,0,23328,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\libbcinfo.dll",0,1,507904,24805,0,19672,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\libclang_android.dll",0,1,18083840,1533966,0,23664,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\libLLVM_android.dll",0,1,29675520,2190849,0,26632,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\libwinpthread-1.dll",0,1,77824,4319,1104,60,10
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\llvm-rs-cc.exe",0,1,1318912,55,0,27216,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\mipsel-linux-android-ld.exe",0,1,1941504,0,0,8980,5
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\split-select.exe",0,1,1552384,57,0,25864,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\x86_64-linux-android-ld.exe",0,0,1822720,0,0,20928,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\28.0.1\zipalign.exe",0,1,737280,53,0,25832,9
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator-arm.exe",28,1,33898496,72371,54792,162500,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator-check.exe",28,1,3878912,72373,54792,30408,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator-crash-service.exe",28,1,4771840,72381,54792,239496,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator-mips.exe",28,1,33992704,72372,54792,162468,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator-x86.exe",28,1,34111488,72371,54792,163204,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator.exe",28,1,884736,0,54792,23552,9
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator64-arm.exe",28,0,37654528,72373,54792,330288,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator64-crash-service.exe",28,0,5095424,72383,54792,305344,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator64-mips.exe",28,0,37818368,72374,54792,330320,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\emulator64-x86.exe",28,0,37838848,72373,54792,331088,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\mksdcard.exe",0,1,315392,0,0,88,15
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\cygblkid-1.dll",28,1,217088,3606,0,548,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\cygcom_err-2.dll",28,1,32768,629,0,68,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\cyge2p-2.dll",28,1,45056,939,0,1092,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\cygext2fs-2.dll",28,1,278528,17677,0,996,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\cyggcc_s-1.dll",28,1,126976,2907,0,68,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\cygiconv-2.dll",28,1,1052672,463,1736,68,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\cygintl-8.dll",28,1,53248,1799,1592,132,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\cyguuid-1.dll",28,1,36864,488,0,196,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\cygwin1.dll",0,1,2932736,41567,1024,7184,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\e2fsck.exe",28,1,249856,5466,1256,9860,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\resize2fs.exe",28,1,57344,0,1256,68,9
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\bin\tune2fs.exe",28,1,77824,0,1256,196,9
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\libEGL_translator.dll",28,1,962560,22148,0,23584,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\libemugl_test_shared_library.dll",28,1,32768,96,0,24,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\libGLES12Translator.dll",28,1,892928,9218,0,23392,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\libGLES_CM_translator.dll",28,1,2379776,29573,0,26024,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\libGLES_V2_translator.dll",28,1,3354624,38694,0,26408,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\libOpenglRender.dll",28,1,1163264,82,0,26752,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\libwinpthread-1.dll",0,1,77824,4319,1104,60,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_angle\d3dcompiler_47.dll",28,6.3,3310368,885,1088,57148,5
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_angle\libEGL.dll",84,0,288760,2008,1504,39546,5
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_angle\libGLESv2.dll",84,0,3933572,24916,1528,672684,7
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_angle9\d3dcompiler_47.dll",28,6.3,3310368,885,1088,57148,5
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_angle9\libEGL.dll",84,0,280536,2008,1504,39562,5
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_angle9\libGLESv2.dll",84,0,2927472,24512,1528,366384,6
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_mesa\mesa_opengl32.dll",28,1,19152896,52163,0,40684,10
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_swiftshader\libEGL.dll",112,0,126944,1296,1704,34604,5
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_swiftshader\libGLESv2.dll",112,0,4900632,8184,1392,734642,5
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\gles_swiftshader\libGLES_CM.dll",112,0,4294364,5340,1408,603458,5
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5Concurrent.dll",28,1,106496,2283,832,19040,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5Core.dll",28,1,5251072,270666,824,23104,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5DBus.dll",28,1,507904,22281,824,19680,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5Gui.dll",28,1,4362240,379053,824,29748,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5Network.dll",28,1,974848,50261,832,20056,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5OpenGL.dll",28,1,327680,35185,824,19228,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5PrintSupport.dll",28,1,339968,25250,840,19272,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5Sql.dll",28,1,290816,22704,824,19132,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5Svg.dll",28,1,319488,20776,824,19108,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5Test.dll",28,1,327680,8270,824,19288,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5Widgets.dll",28,1,5185536,430144,832,20864,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\lib\Qt5Xml.dll",28,1,245760,23112,824,19044,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\bearer\qgenericbearer.dll",28,1,135168,123,840,19176,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\bearer\qnativewifibearer.dll",28,1,135168,126,840,19176,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\generic\qtuiotouchplugin.dll",28,1,135168,125,840,19100,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\iconengines\qsvgicon.dll",28,1,118784,117,824,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qdds.dll",28,1,135168,113,816,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qgif.dll",28,1,114688,113,816,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qicns.dll",28,1,118784,114,816,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qico.dll",28,1,114688,113,816,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qjpeg.dll",28,1,299008,114,816,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qsvg.dll",28,1,106496,113,816,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qtga.dll",28,1,106496,113,816,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qtiff.dll",28,1,471040,114,816,27004,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qwbmp.dll",28,1,106496,114,816,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\imageformats\qwebp.dll",28,1,528384,114,816,19260,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\platforms\qminimal.dll",28,1,106496,117,824,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\platforms\qwindows.dll",28,1,655360,117,824,19424,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\printsupport\windowsprintersupport.dll",28,1,118784,130,848,19068,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\sqldrivers\qsqlite.dll",28,1,765952,116,824,23652,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib\qt\plugins\sqldrivers\qsqlodbc.dll",28,1,163840,117,824,19100,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\lib64EGL_translator.dll",28,0,1089536,20673,0,83328,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\lib64emugl_test_shared_library.dll",28,0,40960,98,0,80,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\lib64GLES12Translator.dll",28,0,1032192,8655,0,82944,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\lib64GLES_CM_translator.dll",28,0,2584576,24208,0,87936,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\lib64GLES_V2_translator.dll",28,0,3522560,28586,0,89504,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\lib64OpenglRender.dll",28,0,1310720,84,0,89632,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\libwinpthread-1.dll",0,0,98304,4319,1104,160,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_angle\d3dcompiler_47.dll",28,6.3,4126288,885,1088,71528,6
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_angle\libEGL.dll",84,0,350520,2008,1504,69312,6
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_angle\libGLESv2.dll",84,0,3933572,24916,1528,672684,7
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_angle9\d3dcompiler_47.dll",28,6.3,4126288,885,1088,71528,6
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_angle9\libEGL.dll",84,0,342600,2008,1504,69640,6
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_angle9\libGLESv2.dll",84,0,3937632,24848,1528,664484,7
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_mesa\mesa_opengl32.dll",28,0,20406272,40984,0,112064,12
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_swiftshader\libEGL.dll",112,0,156208,1296,1704,52008,6
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_swiftshader\libGLESv2.dll",112,0,6770664,8184,1392,1040796,6
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\gles_swiftshader\libGLES_CM.dll",112,0,6005324,5340,1408,836544,6
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5Concurrent.dll",28,0,172032,2283,832,75088,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5Core.dll",28,0,5423104,270660,824,85216,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5DBus.dll",28,0,634880,22281,824,76896,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5Gui.dll",28,0,4820992,379088,824,96768,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5Network.dll",28,0,1167360,50261,832,77936,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5OpenGL.dll",28,0,421888,35188,824,75712,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5PrintSupport.dll",28,0,438272,25260,840,75840,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5Sql.dll",28,0,389120,22704,824,75456,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5Svg.dll",28,0,421888,20783,824,75296,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5Test.dll",28,0,409600,8270,824,76048,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5Widgets.dll",28,0,5758976,430436,832,80064,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\lib\Qt5Xml.dll",28,0,348160,23117,824,75104,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\bearer\qgenericbearer.dll",28,0,204800,123,840,75536,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\bearer\qnativewifibearer.dll",28,0,204800,126,840,75536,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\generic\qtuiotouchplugin.dll",28,0,208896,125,840,75360,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\iconengines\qsvgicon.dll",28,0,188416,117,824,75296,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qdds.dll",28,0,204800,113,816,75296,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qgif.dll",28,0,184320,113,816,75328,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qicns.dll",28,0,192512,114,816,75296,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qico.dll",28,0,180224,113,816,75328,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qjpeg.dll",28,0,389120,114,816,75328,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qsvg.dll",28,0,176128,113,816,75296,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qtga.dll",28,0,180224,113,816,75296,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qtiff.dll",28,0,561152,114,816,85952,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qwbmp.dll",28,0,176128,114,816,75296,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\imageformats\qwebp.dll",28,0,643072,114,816,75552,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\platforms\qminimal.dll",28,0,180224,117,824,75296,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\platforms\qwindows.dll",28,0,774144,117,824,76160,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\printsupport\windowsprintersupport.dll",28,0,188416,130,848,75328,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\sqldrivers\qsqlite.dll",28,0,917504,116,824,83840,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\lib64\qt\plugins\sqldrivers\qsqlodbc.dll",28,0,237568,117,824,75360,14
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86\qemu-system-aarch64.exe",28,1,41594880,98217,0,462868,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86\qemu-system-armel.exe",28,1,41406464,98215,0,461940,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86\qemu-system-i386.exe",28,1,40607744,98214,0,393572,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86\qemu-system-mips64el.exe",28,1,40677376,98218,0,369284,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86\qemu-system-mipsel.exe",28,1,40484864,98216,0,365924,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86\qemu-system-x86_64.exe",28,1,40689664,98216,0,394532,11
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86_64\qemu-system-aarch64.exe",28,0,43786240,97412,0,865072,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86_64\qemu-system-armel.exe",28,0,43610112,97410,0,863440,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86_64\qemu-system-i386.exe",28,0,42692608,97409,0,733680,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86_64\qemu-system-mips64el.exe",28,0,42725376,97413,0,688752,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86_64\qemu-system-mipsel.exe",28,0,42557440,97411,0,682800,13
"C:/Users/Alina\AppData\Local\Android\Sdk\emulator\qemu\windows-x86_64\qemu-system-x86_64.exe",28,0,42737664,97411,0,735600,13
"C:/Users/Alina\AppData\Local\Android\Sdk\extras\intel\Hardware_Accelerated_Execution_Manager\haxm_check.exe",112,0,93308,0,1552,25198,6
"C:/Users/Alina\AppData\Local\Android\Sdk\extras\intel\Hardware_Accelerated_Execution_Manager\intelhaxm-android.exe",0,0,315812,0,77684,11408,9
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\adb.exe",0,1,1916928,51865,0,27224,9
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\AdbWinApi.dll",28,6.1,81284,4033,1032,11876,4
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\AdbWinUsbApi.dll",28,6.1,51852,94,1072,6820,4
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\dmtracedump.exe",0,1,151552,56,0,19300,9
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\etc1tool.exe",0,1,339968,53,0,19108,9
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\fastboot.exe",0,1,847872,53,0,26600,9
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\hprof-conv.exe",0,1,53248,55,0,116,9
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\libwinpthread-1.dll",0,1,77824,4319,1104,60,18
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\make_f2fs.exe",0,1,356352,54,0,19512,9
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\mke2fs.exe",0,1,1028096,51,0,30088,9
"C:/Users/Alina\AppData\Local\Android\Sdk\platform-tools\sqlite3.exe",0,1,827392,52,0,9396,9
"C:/Users/Alina\AppData\Local\Android\Sdk\tools\emulator-check.exe",28,1,589824,0,54792,23552,9
"C:/Users/Alina\AppData\Local\Android\Sdk\tools\emulator.exe",28,1,765952,0,54792,23520,9
"C:/Users/Alina\AppData\Local\Android\Sdk\tools\mksdcard.exe",0,1,315392,0,0,88,15
"C:/Users/Alina\AppData\Local\Android\Sdk\tools\lib\find_java32.exe",0,1,196608,0,0,19172,15
