FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
browserchoice.exe,28,6.1,15508,0,275144,1676,4,319362,33088,278528,262144,clean
bthudtask.exe,28,6.1,7372,0,28512,896,4,40307,33088,30208,262144,clean
bulkmetadatapackagingwizard.exe,28,0.0,63360,0,302672,302672,3,375599,34144,303616,1048576,clean
Cacheset.exe,0,0.0,30032,0,2704,3402,4,185413,0,126976,1048576,clean
cacls.exe,28,6.1,21844,0,2016,1112,4,45592,33088,5120,262144,clean
calc.exe,56,6.1,334588,0,403352,16576,4,834864,33088,435712,262144,clean
CasPol.exe,28,0.0,96776,0,1584,1584,3,119767,34144,2560,1048576,clean
cdb.exe,28,6.3,90652,0,3352,26748,6,97595,49472,39936,262144,clean
celog2etw.exe,28,6.3,267144,0,1840,4808,6,332783,49472,23552,262144,clean
CertEnrollCtrl.exe,28,6.1,46864,0,1344,5516,4,125047,33088,22016,262144,clean
certreq.exe,28,6.1,227764,0,3304,8728,4,304504,33088,33792,262144,clean
certutil.exe,28,6.1,804196,0,3312,36904,4,933825,33088,82432,262144,clean
change.exe,28,6.1,12052,0,2096,5524,4,15540,33088,9216,262144,clean
charmap.exe,28,6.1,52804,0,93632,136812,4,209990,33088,236544,262144,clean
Chess.exe,28,6.1,1236032,0,1454544,99104,4,2889898,33088,1643008,262144,clean
